Date,Average_Wind_Speed,Average_Temperature,Fog_Ice_Freezing_Fog,Thunder,Smoke_or_Haze
2019-01-01,7.61,31.0,1.0,,
2019-01-02,8.72,28.0,1.0,,
2019-01-03,11.63,29.0,,,
2019-01-04,8.05,37.0,,,
2019-01-05,8.28,39.0,,,
2019-01-06,11.63,38.0,,,
2019-01-07,15.66,44.0,1.0,,
2019-01-08,14.54,41.0,1.0,,
2019-01-09,13.65,23.0,,,
2019-01-10,4.47,18.0,,,
2019-01-11,4.92,23.0,,,
2019-01-12,11.41,30.0,1.0,,1.0
2019-01-13,12.53,30.0,1.0,,
2019-01-14,8.28,25.0,1.0,,1.0
2019-01-15,11.18,26.0,1.0,,
2019-01-16,9.4,31.0,,,
2019-01-17,5.59,30.0,1.0,,1.0
2019-01-18,10.51,30.0,1.0,,
2019-01-19,20.13,26.0,1.0,,
2019-01-20,13.42,12.0,,,
2019-01-21,8.5,9.0,1.0,,1.0
2019-01-22,9.4,19.0,1.0,,
2019-01-23,9.84,29.0,1.0,,
2019-01-24,11.63,17.0,1.0,,1.0
2019-01-25,9.4,1.0,1.0,,
2019-01-26,5.82,2.0,1.0,,
2019-01-27,6.93,4.0,,,
2019-01-28,12.75,18.0,1.0,,1.0
2019-01-29,14.54,6.0,1.0,,1.0
2019-01-30,15.21,-15.0,,,
2019-01-31,6.26,-15.0,1.0,,1.0
2019-02-01,5.14,7.0,1.0,,1.0
2019-02-02,11.18,26.0,1.0,,1.0
2019-02-03,10.07,42.0,1.0,,
2019-02-04,11.41,47.0,1.0,,
2019-02-05,9.4,29.0,1.0,,
2019-02-06,8.5,33.0,1.0,,
2019-02-07,12.97,36.0,1.0,1.0,
2019-02-08,17.67,11.0,,,
2019-02-09,5.82,12.0,,,
2019-02-10,6.93,23.0,1.0,,1.0
2019-02-11,12.3,28.0,1.0,,
2019-02-12,13.65,32.0,1.0,,
2019-02-13,12.75,18.0,1.0,,
2019-02-14,10.51,36.0,,,1.0
2019-02-15,12.53,23.0,,,1.0
2019-02-16,8.95,19.0,,,
2019-02-17,11.18,25.0,1.0,,1.0
2019-02-18,7.61,25.0,1.0,,
2019-02-19,4.7,22.0,,,
2019-02-20,13.87,31.0,1.0,,
2019-02-21,10.74,31.0,,,
2019-02-22,7.61,29.0,,,1.0
2019-02-23,10.29,36.0,1.0,1.0,1.0
2019-02-24,24.38,37.0,,,
2019-02-25,10.51,12.0,,,
2019-02-26,12.53,17.0,1.0,,
2019-02-27,10.07,25.0,1.0,,1.0
2019-02-28,4.47,18.0,,,
