Date,Average_Wind_Speed,Average_Temperature,Maximum_Temperature,Minimum_Temperature,Fog_Ice_Freezing_Fog,Heavy_Fog_or_Heavy_Freezing_Fog,Thunder,Hail,Smoke_or_Haze,Mist,Rain,Freezing_Rain,Snow_Snow_Pellets_or_Ice Crystals
2010-01-01,10.29,,16.0,5.0,,,,,,,,,1.0
2010-01-02,11.86,,11.0,2.0,,,,,,,,,
2010-01-03,10.29,,18.0,-1.0,,,,,,,1.0,,1.0
2010-01-04,11.41,,18.0,7.0,,,,,,,1.0,,1.0
2010-01-05,8.5,,23.0,13.0,,,,,,,1.0,,1.0
2010-01-06,5.37,,20.0,10.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-01-07,5.59,,22.0,16.0,1.0,,,,,1.0,1.0,,1.0
2010-01-08,13.65,,27.0,11.0,1.0,,,,,1.0,1.0,,1.0
2010-01-09,8.5,,22.0,6.0,,,,,,,,,
2010-01-10,11.18,,18.0,0.0,,,,,,,,,1.0
2010-01-11,12.3,,26.0,15.0,,,,,,,1.0,,1.0
2010-01-12,8.72,,31.0,20.0,,,,,,,1.0,,1.0
2010-01-13,14.09,,35.0,19.0,,,,,,,,,
2010-01-14,10.74,,40.0,31.0,1.0,,,,1.0,1.0,,,
2010-01-15,6.04,,34.0,25.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-01-16,7.16,,27.0,23.0,1.0,,,,,1.0,,,
2010-01-17,5.37,,29.0,19.0,1.0,1.0,,,,1.0,,,1.0
2010-01-18,6.71,,31.0,27.0,1.0,,,,,1.0,,,1.0
2010-01-19,4.03,,38.0,27.0,1.0,,,,,1.0,,,
2010-01-20,14.99,,33.0,24.0,,,1.0,1.0,,,1.0,1.0,
2010-01-21,15.21,,35.0,30.0,,,,1.0,,,1.0,,
2010-01-22,9.84,,35.0,33.0,1.0,,,,1.0,1.0,,,
2010-01-23,12.08,,44.0,34.0,1.0,,,,,1.0,,,
2010-01-24,14.09,,46.0,30.0,1.0,,,1.0,,1.0,1.0,,
2010-01-25,13.42,,32.0,19.0,1.0,,,,,1.0,1.0,,1.0
2010-01-26,14.32,,24.0,12.0,,,,,,,1.0,,1.0
2010-01-27,12.75,,23.0,9.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-01-28,11.63,,17.0,6.0,,,,,,,,,
2010-01-29,4.7,,21.0,5.0,1.0,,,,,,1.0,,1.0
2010-01-30,5.82,,25.0,18.0,,,,,,,1.0,,1.0
2010-01-31,7.38,,29.0,15.0,,,,,,,,,
2010-02-01,4.03,,30.0,14.0,,,,,1.0,,1.0,,1.0
2010-02-02,7.16,,32.0,25.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-02-03,5.59,,32.0,23.0,1.0,,,,1.0,1.0,,,
2010-02-04,6.26,,33.0,21.0,1.0,,,,1.0,1.0,,,
2010-02-05,14.99,,35.0,30.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-02-06,15.21,,31.0,25.0,,,,,,,1.0,,1.0
2010-02-07,5.82,,31.0,23.0,1.0,,,,,1.0,1.0,,1.0
2010-02-08,8.72,,30.0,20.0,,,,,,,1.0,,1.0
2010-02-09,10.74,,28.0,23.0,1.0,1.0,,,,1.0,1.0,,1.0
2010-02-10,14.54,,26.0,17.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-02-11,5.82,,30.0,10.0,,,,,,,,,
2010-02-12,4.7,,32.0,10.0,,,,,1.0,,,,
2010-02-13,7.16,,30.0,11.0,,,,,,,,,
2010-02-14,5.59,,29.0,9.0,1.0,,,,1.0,,,,
2010-02-15,8.5,,28.0,6.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-02-16,11.86,,32.0,25.0,1.0,,,,,1.0,1.0,,1.0
2010-02-17,10.29,,32.0,26.0,,,,,,,,,
2010-02-18,7.16,,39.0,25.0,,,,,,,,,
2010-02-19,4.7,,42.0,19.0,,,,,,,,,
2010-02-20,5.14,,39.0,30.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-02-21,7.61,,36.0,33.0,1.0,,,1.0,1.0,1.0,1.0,,1.0
2010-02-22,10.51,,33.0,29.0,1.0,,,,,1.0,1.0,,1.0
2010-02-23,6.49,,33.0,22.0,1.0,,,,1.0,,1.0,,1.0
2010-02-24,12.08,,29.0,21.0,1.0,1.0,,,,1.0,1.0,,1.0
2010-02-25,11.86,,28.0,18.0,,,,,1.0,,1.0,,1.0
2010-02-26,13.2,,31.0,17.0,,,,,,,1.0,,1.0
2010-02-27,11.41,,34.0,28.0,1.0,,,,,1.0,1.0,,1.0
2010-02-28,7.16,,38.0,32.0,1.0,,,,1.0,1.0,1.0,,1.0
2010-03-01,7.61,,36.0,27.0,,,,,,,,,
2010-03-02,8.5,,33.0,23.0,,,,,,,,,
2010-03-03,8.5,,39.0,24.0,,,,,,,,,
2010-03-04,6.71,,42.0,22.0,,,,,,,,,
2010-03-05,6.71,,38.0,23.0,,,,,,,,,
2010-03-06,3.36,,45.0,20.0,,,,,1.0,,,,
2010-03-07,3.8,,46.0,26.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-03-08,2.24,,44.0,33.0,1.0,1.0,,,1.0,1.0,,,
2010-03-09,6.49,,51.0,32.0,1.0,1.0,,1.0,1.0,1.0,1.0,,
2010-03-10,8.05,,62.0,46.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-03-11,9.4,,60.0,44.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-03-12,8.5,,55.0,40.0,1.0,,,,,1.0,1.0,,
2010-03-13,16.11,,45.0,41.0,1.0,,,1.0,,1.0,1.0,,
2010-03-14,16.55,,50.0,40.0,1.0,,,1.0,,1.0,1.0,,
2010-03-15,7.61,,48.0,39.0,,,,,,,,,
2010-03-16,4.47,,61.0,35.0,,,,,,,,,
2010-03-17,3.8,,63.0,32.0,,,,,1.0,,,,
2010-03-18,9.62,,61.0,41.0,,,,,,,,,
2010-03-19,11.41,,65.0,39.0,,,,,,,,,
2010-03-20,15.66,,39.0,31.0,1.0,,,,,1.0,1.0,,1.0
2010-03-21,13.65,,42.0,33.0,1.0,,,1.0,,1.0,1.0,,1.0
2010-03-22,12.75,,49.0,34.0,,,,,,,,,
2010-03-23,4.47,,59.0,28.0,,,,,,,,,
2010-03-24,4.92,,53.0,35.0,,,,,,,,,
2010-03-25,17.9,,47.0,29.0,,,,1.0,,,1.0,,
2010-03-26,9.62,,41.0,27.0,,,,,,,,,
2010-03-27,9.4,,50.0,31.0,,,,,,,1.0,,
2010-03-28,14.09,,52.0,37.0,,,,,,,,,
2010-03-29,6.93,,46.0,30.0,,,,,,,,,
2010-03-30,10.96,,64.0,29.0,1.0,,,,,1.0,,,
2010-03-31,14.76,,77.0,51.0,,,,,,,,,
2010-04-01,15.21,,83.0,54.0,,,,,,,,,
2010-04-02,17.67,,81.0,59.0,,,,,,,,,
2010-04-03,11.86,,59.0,49.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-04-04,13.65,,76.0,39.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-04-05,8.5,,72.0,50.0,1.0,,1.0,1.0,1.0,,1.0,,
2010-04-06,8.72,,76.0,47.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
2010-04-07,11.41,,49.0,37.0,1.0,,,1.0,,1.0,1.0,,
2010-04-08,11.63,,40.0,34.0,1.0,,,1.0,,,1.0,,1.0
2010-04-09,7.61,,56.0,30.0,,,,,,,,,
2010-04-10,11.41,,74.0,38.0,,,,,,,,,
2010-04-11,8.05,,63.0,44.0,,,,,,,,,
2010-04-12,11.41,,70.0,44.0,,,,1.0,,,1.0,,
2010-04-13,12.08,,63.0,48.0,,,,,,,,,
2010-04-14,8.5,,80.0,46.0,,,,,1.0,,,,
2010-04-15,12.75,,82.0,61.0,,,,,1.0,,,,
2010-04-16,12.97,,68.0,39.0,,,,,,,,,
2010-04-17,11.41,,59.0,37.0,,,,,,,,,
2010-04-18,8.5,,52.0,36.0,,,,,,,,,
2010-04-19,6.26,,56.0,35.0,,,,,,,,,
2010-04-20,3.8,,64.0,38.0,,,,,,,,,
2010-04-21,10.51,,62.0,41.0,,,,1.0,,,1.0,,
2010-04-22,7.16,,60.0,38.0,,,,,,,,,
2010-04-23,7.83,,63.0,41.0,1.0,,,1.0,,,1.0,,
2010-04-24,12.08,,60.0,51.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-04-25,13.42,,60.0,47.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-04-26,14.76,,63.0,47.0,,,,,,,,,
2010-04-27,12.08,,51.0,37.0,,,,,,,,,
2010-04-28,4.7,,64.0,33.0,,,,,,,,,
2010-04-29,18.34,,79.0,46.0,,,,,,,,,
2010-04-30,18.12,,81.0,62.0,1.0,,1.0,1.0,1.0,,1.0,,
2010-05-01,9.4,,70.0,58.0,1.0,,,1.0,,1.0,1.0,,
2010-05-02,6.04,,69.0,53.0,1.0,,,1.0,,1.0,1.0,,
2010-05-03,9.4,,72.0,50.0,,,,,,,,,
2010-05-04,14.32,,79.0,50.0,,,,,,,,,
2010-05-05,12.75,,72.0,56.0,,,,,,,1.0,,
2010-05-06,9.17,,63.0,46.0,1.0,,1.0,1.0,,,1.0,,
2010-05-07,13.2,,59.0,45.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
2010-05-08,15.21,,50.0,42.0,1.0,,,1.0,,,1.0,,
2010-05-09,6.49,,58.0,38.0,,,,,,,,,
2010-05-10,14.32,,58.0,41.0,,,,1.0,,,1.0,,
2010-05-11,9.84,,52.0,44.0,1.0,,,1.0,,1.0,1.0,,
2010-05-12,10.51,,51.0,44.0,1.0,1.0,1.0,1.0,1.0,,1.0,,
2010-05-13,12.3,,73.0,48.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-05-14,11.18,,66.0,47.0,,,,,,,,,
2010-05-15,5.82,,61.0,43.0,,,,,,,,,
2010-05-16,10.07,,66.0,41.0,,,,,,,,,
2010-05-17,9.84,,58.0,50.0,,,,1.0,,,1.0,,
2010-05-18,9.84,,65.0,46.0,,,,,,,,,
2010-05-19,6.49,,74.0,44.0,,,,,,,,,
2010-05-20,7.83,,74.0,47.0,,,,1.0,,,1.0,,
2010-05-21,6.26,,73.0,56.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-05-22,5.37,,74.0,58.0,1.0,1.0,,,1.0,1.0,,,
2010-05-23,10.07,,89.0,62.0,,,,,,,,,
2010-05-24,8.28,,91.0,70.0,1.0,,,,,,,,
2010-05-25,7.83,,88.0,69.0,,,,,1.0,,,,
2010-05-26,4.47,,87.0,66.0,,,1.0,,,,1.0,,
2010-05-27,10.74,,77.0,61.0,,,,,,,,,
2010-05-28,8.5,,79.0,57.0,,,,,,,,,
2010-05-29,5.82,,86.0,59.0,,,,,,,,,
2010-05-30,5.82,,91.0,61.0,,,,,,,,,
2010-05-31,4.7,,81.0,66.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-06-01,6.04,,85.0,63.0,1.0,,,,1.0,1.0,,,
2010-06-02,8.72,,77.0,57.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-06-03,7.83,,71.0,56.0,,,,,,,,,
2010-06-04,9.84,,83.0,57.0,,,,,,,,,
2010-06-05,7.83,,79.0,60.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-06-06,11.18,,76.0,55.0,,,,1.0,,,1.0,,
2010-06-07,6.93,,70.0,54.0,,,,,,,,,
2010-06-08,10.07,,67.0,58.0,1.0,,,1.0,,1.0,1.0,,
2010-06-09,10.74,,83.0,65.0,1.0,,,,,1.0,,,
2010-06-10,6.71,,77.0,58.0,,,,,,,,,
2010-06-11,10.51,,89.0,64.0,1.0,,1.0,1.0,,,1.0,,
2010-06-12,8.05,,77.0,62.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
2010-06-13,4.92,,71.0,62.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-06-14,6.71,,70.0,60.0,1.0,,,1.0,,1.0,1.0,,
2010-06-15,5.59,,79.0,60.0,1.0,,1.0,1.0,1.0,,1.0,,
2010-06-16,8.95,,82.0,63.0,,,,,1.0,,,,
2010-06-17,7.61,,84.0,64.0,,,,,,,,,
2010-06-18,10.51,,90.0,67.0,1.0,1.0,1.0,1.0,1.0,,,,
2010-06-19,10.51,,85.0,66.0,,,,,,,,,
2010-06-20,4.7,,81.0,64.0,,,,,,,1.0,,
2010-06-21,8.5,,85.0,67.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-06-22,6.93,,85.0,69.0,,,,,,,,,
2010-06-23,11.41,,87.0,69.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-06-24,8.72,,84.0,65.0,,,,,,,,,
2010-06-25,7.38,,84.0,62.0,,,,,,,,,
2010-06-26,6.71,,87.0,69.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-06-27,9.17,,85.0,72.0,1.0,,1.0,,,1.0,1.0,,
2010-06-28,11.41,,82.0,63.0,,,,,,,,,
2010-06-29,7.61,,75.0,59.0,,,,,,,,,
2010-06-30,6.04,,75.0,56.0,,,,,,,,,
2010-07-01,5.59,,77.0,55.0,,,,,,,,,
2010-07-02,8.05,,83.0,59.0,,,,,,,,,
2010-07-03,8.95,,87.0,60.0,,,,,,,,,
2010-07-04,10.51,,91.0,68.0,,,,,,,,,
2010-07-05,15.21,,91.0,78.0,,,,,,,,,
2010-07-06,8.95,,90.0,73.0,1.0,,1.0,1.0,,,1.0,,
2010-07-07,6.26,,93.0,71.0,1.0,,,,1.0,1.0,1.0,,
2010-07-08,5.37,,88.0,73.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-07-09,7.61,,88.0,70.0,,,,,1.0,,1.0,,
2010-07-10,8.05,,89.0,69.0,,,,,1.0,,,,
2010-07-11,7.83,,85.0,66.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-07-12,3.8,,84.0,65.0,1.0,,,,,1.0,1.0,,
2010-07-13,6.04,,84.0,70.0,1.0,,,,,,1.0,,
2010-07-14,10.07,,90.0,70.0,1.0,,,,1.0,1.0,,,
2010-07-15,10.07,,90.0,71.0,1.0,,,,,,1.0,,
2010-07-16,8.05,,90.0,67.0,,,,,,,,,
2010-07-17,6.93,,93.0,71.0,,,,,,,,,
2010-07-18,9.62,,92.0,72.0,,,1.0,,,,1.0,,
2010-07-19,4.92,,84.0,69.0,,,,1.0,,,1.0,,
2010-07-20,7.16,,86.0,68.0,,,,,,,1.0,,
2010-07-21,6.71,,91.0,72.0,,,,,,,,,
2010-07-22,11.86,,90.0,69.0,,,,,1.0,,1.0,,
2010-07-23,11.86,,94.0,70.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-07-24,8.95,,87.0,69.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-07-25,9.17,,81.0,66.0,,,,,,,,,
2010-07-26,5.14,,84.0,61.0,,,,,,,,,
2010-07-27,6.49,,88.0,68.0,,,,,,,,,
2010-07-28,9.4,,88.0,73.0,1.0,,,,1.0,1.0,,,
2010-07-29,6.93,,82.0,67.0,,,,,,,,,
2010-07-30,6.04,,80.0,69.0,,,1.0,1.0,,,1.0,,
2010-07-31,5.82,,80.0,65.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
2010-08-01,4.03,,86.0,65.0,1.0,,,,1.0,1.0,,,
2010-08-02,6.71,,84.0,67.0,1.0,,,1.0,1.0,1.0,1.0,,
2010-08-03,3.36,,86.0,66.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-08-04,4.92,,83.0,71.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-08-05,10.96,,83.0,68.0,,,,,,,,,
2010-08-06,6.49,,82.0,64.0,,,,,,,,,
2010-08-07,8.05,,83.0,62.0,,,,,,,,,
2010-08-08,9.84,,87.0,69.0,1.0,,,1.0,,1.0,1.0,,
2010-08-09,7.16,,88.0,72.0,1.0,,1.0,,,,1.0,,
2010-08-10,4.92,,89.0,75.0,,,,,,,,,
2010-08-11,6.04,,90.0,75.0,1.0,,,,1.0,1.0,,,
2010-08-12,5.82,,92.0,74.0,,,,,,,,,
2010-08-13,7.61,,92.0,73.0,1.0,,1.0,,,1.0,1.0,,
2010-08-14,4.92,,88.0,72.0,,,,,,,1.0,,
2010-08-15,8.72,,83.0,66.0,,,,,,,,,
2010-08-16,9.4,,80.0,63.0,,,,,,,,,
2010-08-17,6.04,,79.0,64.0,,,,1.0,,,1.0,,
2010-08-18,3.58,,84.0,63.0,,,,1.0,,,1.0,,
2010-08-19,4.92,,88.0,66.0,,,,,,,,,
2010-08-20,11.18,,92.0,71.0,,,,1.0,,,1.0,,
2010-08-21,6.04,,86.0,71.0,1.0,,,1.0,,1.0,1.0,,
2010-08-22,8.5,,81.0,68.0,,,,,,,,,
2010-08-23,7.38,,80.0,65.0,,,,,,,,,
2010-08-24,5.82,,84.0,64.0,,,,,,,1.0,,
2010-08-25,10.29,,79.0,61.0,,,,,,,,,
2010-08-26,5.14,,79.0,59.0,,,,,,,,,
2010-08-27,8.95,,86.0,59.0,,,,,,,,,
2010-08-28,10.74,,88.0,65.0,,,,,,,,,
2010-08-29,11.41,,94.0,71.0,,,,,,,,,
2010-08-30,14.54,,88.0,74.0,,,,,,,,,
2010-08-31,14.99,,93.0,75.0,,,,,,,,,
2010-09-01,7.38,,81.0,71.0,1.0,,,1.0,,,1.0,,
2010-09-02,6.93,,83.0,65.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-09-03,15.66,,70.0,56.0,,,,,,,1.0,,
2010-09-04,11.86,,68.0,51.0,,,,,,,1.0,,
2010-09-05,8.95,,76.0,49.0,,,,1.0,,,1.0,,
2010-09-06,14.99,,82.0,66.0,,,,,,,1.0,,
2010-09-07,18.79,,77.0,58.0,,,,,,,,,
2010-09-08,6.49,,71.0,51.0,,,,,,,,,
2010-09-09,6.49,,67.0,50.0,,,,,,,,,
2010-09-10,9.4,,72.0,55.0,,,,,,,,,
2010-09-11,9.4,,75.0,58.0,1.0,,,1.0,,1.0,1.0,,
2010-09-12,7.83,,83.0,54.0,,,,,,,,,
2010-09-13,6.04,,82.0,57.0,,,,,,,,,
2010-09-14,4.92,,77.0,54.0,,,,,1.0,,,,
2010-09-15,9.17,,75.0,59.0,,,,,1.0,,1.0,,
2010-09-16,11.41,,69.0,53.0,1.0,,,1.0,,1.0,1.0,,
2010-09-17,4.47,,74.0,49.0,,,,,,,,,
2010-09-18,6.49,,65.0,58.0,1.0,,1.0,1.0,,1.0,1.0,,
2010-09-19,7.83,,67.0,55.0,,,,1.0,,,1.0,,
2010-09-20,6.71,,75.0,62.0,,,,,,,1.0,,
2010-09-21,11.63,,88.0,68.0,1.0,,1.0,1.0,,,1.0,,
2010-09-22,6.04,,74.0,63.0,1.0,,,,,,,,
2010-09-23,17.0,,89.0,65.0,1.0,,,,1.0,,,,
2010-09-24,17.22,,80.0,56.0,1.0,,,1.0,,1.0,1.0,,
2010-09-25,8.95,,60.0,52.0,,,,,,,,,
2010-09-26,10.07,,60.0,50.0,,,,1.0,,,1.0,,
2010-09-27,4.92,,65.0,48.0,,,,,,,,,
2010-09-28,3.8,,71.0,46.0,,,,,,,,,
2010-09-29,5.82,,75.0,52.0,1.0,,,,1.0,,,,
2010-09-30,9.4,,74.0,52.0,,,,,,,,,
2010-10-01,6.26,,73.0,48.0,1.0,,,1.0,,1.0,1.0,,
2010-10-02,15.43,,57.0,45.0,1.0,,,1.0,,,1.0,,
2010-10-03,11.41,,56.0,42.0,1.0,,,1.0,,,1.0,,
2010-10-04,3.58,,60.0,38.0,,,,,,,,,
2010-10-05,3.58,,68.0,39.0,,,,,,,,,
2010-10-06,7.83,,78.0,46.0,,,,,,,,,
2010-10-07,6.26,,76.0,49.0,,,,,,,,,
2010-10-08,7.38,,79.0,48.0,,,,,,,,,
